id,class
a_0.png,liver
a_1.png,lung-right
a_2.png,kidney-right
a_3.png,liver
a_4.png,pancreas
a_5.png,lung-left
a_6.png,liver
a_7.png,pancreas
a_8.png,kidney-left
a_9.png,lung-left
a_10.png,lung-left
a_11.png,pancreas
a_12.png,kidney-right
a_13.png,bladder
a_14.png,spleen
a_15.png,lung-left
a_16.png,lung-left
a_17.png,spleen
a_18.png,spleen
a_19.png,lung-left
a_20.png,heart
a_21.png,lung-left
a_22.png,lung-right
a_23.png,bladder
a_24.png,lung-left
a_25.png,femur-right
a_26.png,bladder
a_27.png,pancreas
a_28.png,lung-right
a_29.png,spleen
a_30.png,liver
a_31.png,kidney-right
a_32.png,lung-left
a_33.png,kidney-left
a_34.png,kidney-right
a_35.png,liver
a_36.png,lung-left
a_37.png,lung-left
a_38.png,liver
a_39.png,spleen
a_40.png,lung-left
a_41.png,femur-left
a_42.png,liver
a_43.png,spleen
a_44.png,femur-right
a_45.png,bladder
a_46.png,spleen
a_47.png,lung-right
a_48.png,lung-left
a_49.png,bladder
a_50.png,bladder
a_51.png,liver
a_52.png,lung-left
a_53.png,spleen
a_54.png,kidney-right
a_55.png,kidney-left
a_56.png,liver
a_57.png,kidney-left
a_58.png,spleen
a_59.png,kidney-right
a_60.png,kidney-left
a_61.png,lung-right
a_62.png,liver
a_63.png,kidney-right
a_64.png,heart
a_65.png,lung-right
a_66.png,lung-right
a_67.png,femur-right
a_68.png,pancreas
a_69.png,bladder
a_70.png,pancreas
a_71.png,liver
a_72.png,liver
a_73.png,pancreas
a_74.png,lung-right
a_75.png,liver
a_76.png,kidney-left
a_77.png,femur-left
a_78.png,pancreas
a_79.png,heart
a_80.png,liver
a_81.png,femur-right
a_82.png,kidney-left
a_83.png,lung-right
a_84.png,liver
a_85.png,kidney-right
a_86.png,kidney-left
a_87.png,liver
a_88.png,lung-right
a_89.png,bladder
a_90.png,kidney-right
a_91.png,spleen
a_92.png,pancreas
a_93.png,lung-right
a_94.png,kidney-left
a_95.png,heart
a_96.png,kidney-right
a_97.png,kidney-left
a_98.png,spleen
a_99.png,kidney-right
a_100.png,spleen
a_101.png,lung-right
a_102.png,lung-left
a_103.png,liver
a_104.png,kidney-left
a_105.png,spleen
a_106.png,femur-left
a_107.png,kidney-right
a_108.png,pancreas
a_109.png,lung-left
a_110.png,lung-right
a_111.png,bladder
a_112.png,liver
a_113.png,pancreas
a_114.png,lung-right
a_115.png,lung-right
a_116.png,liver
a_117.png,lung-right
a_118.png,lung-right
a_119.png,lung-left
a_120.png,lung-right
a_121.png,femur-left
a_122.png,lung-left
a_123.png,liver
a_124.png,liver
a_125.png,liver
a_126.png,femur-right
a_127.png,liver
a_128.png,spleen
a_129.png,lung-right
a_130.png,liver
a_131.png,femur-right
a_132.png,liver
a_133.png,kidney-right
a_134.png,pancreas
a_135.png,femur-right
a_136.png,kidney-left
a_137.png,lung-left
a_138.png,lung-right
a_139.png,pancreas
a_140.png,liver
a_141.png,spleen
a_142.png,heart
a_143.png,kidney-right
a_144.png,lung-right
a_145.png,bladder
a_146.png,lung-left
a_147.png,kidney-left
a_148.png,kidney-right
a_149.png,kidney-left
a_150.png,pancreas
a_151.png,kidney-right
a_152.png,liver
a_153.png,pancreas
a_154.png,heart
a_155.png,lung-right
a_156.png,spleen
a_157.png,pancreas
a_158.png,liver
a_159.png,liver
a_160.png,liver
a_161.png,lung-right
a_162.png,heart
a_163.png,heart
a_164.png,pancreas
a_165.png,spleen
a_166.png,spleen
a_167.png,spleen
a_168.png,kidney-right
a_169.png,kidney-right
a_170.png,lung-left
a_171.png,pancreas
a_172.png,lung-left
a_173.png,pancreas
a_174.png,femur-right
a_175.png,lung-left
a_176.png,kidney-left
a_177.png,heart
a_178.png,kidney-right
a_179.png,liver
a_180.png,pancreas
a_181.png,femur-right
a_182.png,lung-left
a_183.png,femur-left
a_184.png,kidney-left
a_185.png,liver
a_186.png,lung-right
a_187.png,liver
a_188.png,liver
a_189.png,kidney-right
a_190.png,bladder
a_191.png,liver
a_192.png,kidney-right
a_193.png,lung-left
a_194.png,kidney-right
a_195.png,lung-left
a_196.png,femur-right
a_197.png,lung-left
a_198.png,kidney-left
a_199.png,heart
a_200.png,kidney-left
a_201.png,kidney-left
a_202.png,femur-right
a_203.png,kidney-right
a_204.png,lung-right
a_205.png,lung-right
a_206.png,kidney-right
a_207.png,lung-left
a_208.png,liver
a_209.png,femur-right
a_210.png,liver
a_211.png,kidney-right
a_212.png,femur-right
a_213.png,kidney-right
a_214.png,kidney-left
a_215.png,kidney-left
a_216.png,lung-right
a_217.png,lung-right
a_218.png,bladder
a_219.png,lung-right
a_220.png,kidney-left
a_221.png,liver
a_222.png,heart
a_223.png,spleen
a_224.png,pancreas
a_225.png,kidney-left
a_226.png,kidney-left
a_227.png,bladder
a_228.png,liver
a_229.png,heart
a_230.png,kidney-left
a_231.png,kidney-right
a_232.png,liver
a_233.png,lung-left
a_234.png,liver
a_235.png,liver
a_236.png,kidney-left
a_237.png,lung-left
a_238.png,lung-right
a_239.png,liver
a_240.png,kidney-right
a_241.png,kidney-left
a_242.png,lung-left
a_243.png,pancreas
a_244.png,lung-left
a_245.png,lung-right
a_246.png,liver
a_247.png,spleen
a_248.png,kidney-right
a_249.png,lung-left
a_250.png,liver
a_251.png,femur-right
a_252.png,lung-right
a_253.png,kidney-right
a_254.png,kidney-left
a_255.png,liver
a_256.png,kidney-right
a_257.png,lung-right
a_258.png,liver
a_259.png,liver
a_260.png,spleen
a_261.png,kidney-right
a_262.png,bladder
a_263.png,femur-left
a_264.png,kidney-left
a_265.png,kidney-right
a_266.png,lung-left
a_267.png,liver
a_268.png,femur-right
a_269.png,spleen
a_270.png,liver
a_271.png,lung-left
a_272.png,liver
a_273.png,spleen
a_274.png,femur-left
a_275.png,spleen
a_276.png,spleen
a_277.png,liver
a_278.png,liver
a_279.png,heart
a_280.png,lung-left
a_281.png,lung-right
